customer_id,transaction_id,transaction_amount,payment_method,payment_status,failure_reason,attempt_number,previous_successful_payments,previous_failed_payments,customer_tenure_days,recovery_attempted,recovery_action,recovered,recovered_amount
CUST_00447,TXN_000001,13.75,card,failed,insufficient_funds,1,6,1,365,True,send_reminder,False,0.0
CUST_03870,TXN_000002,21.48,netbanking,failed,network_error,1,6,1,331,True,send_reminder,True,21.48
CUST_03273,TXN_000003,41.17,card,success,,2,10,2,305,False,,False,0.0
CUST_02194,TXN_000004,20.03,netbanking,failed,insufficient_funds,1,7,0,859,True,retry_payment,False,0.0
CUST_02165,TXN_000005,26.5,card,success,,1,9,1,1225,False,,False,0.0
CUST_04293,TXN_000006,47.14,card,success,,3,6,2,711,False,,False,0.0
CUST_00430,TXN_000007,25.05,card,success,,3,11,1,168,False,,False,0.0
CUST_03487,TXN_000008,39.68,upi,success,,3,12,0,672,False,,False,0.0
CUST_01008,TXN_000009,118.41,card,success,,1,11,0,1202,False,,False,0.0
CUST_00471,TXN_000010,28.86,card,success,,3,3,5,1465,False,,False,0.0
CUST_02632,TXN_000011,85.07,card,success,,2,9,0,709,False,,False,0.0
CUST_04878,TXN_000012,51.81,card,success,,1,9,3,1052,False,,False,0.0
CUST_03679,TXN_000013,10.24,wallet,success,,1,8,1,135,False,,False,0.0
CUST_03805,TXN_000014,13.71,upi,success,,3,8,0,1185,False,,False,0.0
CUST_03587,TXN_000015,17.0,card,failed,authentication_failed,1,9,1,103,True,send_reminder,True,17.0
CUST_03930,TXN_000016,16.71,card,success,,2,9,2,489,False,,False,0.0
CUST_02566,TXN_000017,30.81,card,success,,2,12,0,460,False,,False,0.0
CUST_00641,TXN_000018,54.15,card,failed,card_declined,3,7,2,745,True,send_reminder,True,54.15
CUST_04198,TXN_000019,90.39,card,success,,3,5,0,404,False,,False,0.0
CUST_02252,TXN_000020,42.37,card,success,,3,4,0,1287,False,,False,0.0
CUST_02502,TXN_000021,23.18,card,success,,2,7,0,881,False,,False,0.0
CUST_01854,TXN_000022,6.26,card,failed,insufficient_funds,2,7,2,939,False,,False,0.0
CUST_00913,TXN_000023,35.04,netbanking,success,,1,7,0,1236,False,,False,0.0
CUST_04633,TXN_000024,33.81,card,success,,3,5,1,393,False,,False,0.0
CUST_03908,TXN_000025,38.33,upi,success,,3,10,2,807,False,,False,0.0
CUST_03219,TXN_000026,178.57,upi,success,,1,11,0,124,False,,False,0.0
CUST_02012,TXN_000027,89.34,netbanking,success,,1,7,3,1423,False,,False,0.0
CUST_04113,TXN_000028,62.06,card,success,,3,14,1,1431,False,,False,0.0
CUST_02727,TXN_000029,15.34,netbanking,failed,card_declined,3,5,3,711,False,,False,0.0
CUST_02217,TXN_000030,21.97,netbanking,failed,expired_card,3,9,2,548,True,send_reminder,True,21.97
CUST_02252,TXN_000031,30.7,wallet,success,,1,3,1,1473,False,,False,0.0
CUST_01136,TXN_000032,17.81,netbanking,success,,3,9,0,944,False,,False,0.0
CUST_00461,TXN_000033,49.42,card,failed,network_error,2,6,1,446,False,,False,0.0
CUST_02773,TXN_000034,44.06,wallet,success,,1,12,0,548,False,,False,0.0
CUST_04439,TXN_000035,13.86,netbanking,success,,2,6,4,461,False,,False,0.0
CUST_00320,TXN_000036,86.27,card,success,,3,8,3,236,False,,False,0.0
CUST_04291,TXN_000037,35.94,card,success,,3,7,1,856,False,,False,0.0
CUST_04138,TXN_000038,8.3,wallet,success,,1,6,1,80,False,,False,0.0
CUST_01384,TXN_000039,31.78,card,success,,3,9,1,974,False,,False,0.0
CUST_03158,TXN_000040,41.47,netbanking,success,,3,8,3,130,False,,False,0.0
CUST_00826,TXN_000041,72.11,card,success,,3,9,1,629,False,,False,0.0
CUST_03790,TXN_000042,25.28,upi,success,,3,11,2,956,False,,False,0.0
CUST_03502,TXN_000043,64.22,card,failed,authentication_failed,2,14,2,308,True,update_payment_method,True,64.22
CUST_01773,TXN_000044,38.46,upi,success,,1,6,3,473,False,,False,0.0
CUST_00340,TXN_000045,11.56,upi,success,,1,8,1,755,False,,False,0.0
CUST_04853,TXN_000046,10.67,wallet,success,,2,3,0,1298,False,,False,0.0
CUST_02228,TXN_000047,81.29,card,success,,1,9,3,868,False,,False,0.0
CUST_04465,TXN_000048,86.21,card,success,,2,9,0,881,False,,False,0.0
CUST_03389,TXN_000049,42.88,card,success,,1,8,1,889,False,,False,0.0
CUST_03892,TXN_000050,109.57,card,success,,3,6,1,580,False,,False,0.0
CUST_03799,TXN_000051,77.11,wallet,success,,1,7,2,416,False,,False,0.0
CUST_00973,TXN_000052,57.22,card,success,,1,13,2,1432,False,,False,0.0
CUST_01820,TXN_000053,15.97,card,success,,2,7,2,207,False,,False,0.0
CUST_02334,TXN_000054,132.31,netbanking,success,,3,4,0,1004,False,,False,0.0
CUST_02489,TXN_000055,50.86,card,success,,2,6,0,552,False,,False,0.0
CUST_00219,TXN_000056,24.32,card,success,,3,8,1,1180,False,,False,0.0
CUST_02733,TXN_000057,19.4,upi,success,,1,5,2,1008,False,,False,0.0
CUST_00772,TXN_000058,40.67,card,success,,3,6,4,454,False,,False,0.0
CUST_03717,TXN_000059,8.7,netbanking,success,,1,7,0,403,False,,False,0.0
CUST_03415,TXN_000060,57.96,upi,success,,2,3,0,983,False,,False,0.0
CUST_04612,TXN_000061,15.44,card,failed,insufficient_funds,2,8,3,811,True,update_payment_method,False,0.0
CUST_03724,TXN_000062,44.54,upi,failed,expired_card,2,11,2,55,True,retry_payment,True,44.54
CUST_01833,TXN_000063,21.82,netbanking,success,,3,10,1,458,False,,False,0.0
CUST_04837,TXN_000064,26.8,card,success,,1,7,0,249,False,,False,0.0
CUST_02054,TXN_000065,18.07,upi,success,,3,12,2,260,False,,False,0.0
CUST_01629,TXN_000066,29.11,card,success,,3,9,2,770,False,,False,0.0
CUST_04527,TXN_000067,150.13,upi,success,,2,11,1,577,False,,False,0.0
CUST_01852,TXN_000068,100.29,upi,success,,1,9,1,335,False,,False,0.0
CUST_00382,TXN_000069,43.97,card,success,,2,10,1,104,False,,False,0.0
CUST_02348,TXN_000070,32.45,upi,failed,network_error,1,7,4,758,False,,False,0.0
CUST_03978,TXN_000071,65.06,card,success,,3,10,2,446,False,,False,0.0
CUST_00948,TXN_000072,81.78,upi,success,,1,9,1,328,False,,False,0.0
CUST_02315,TXN_000073,17.05,upi,failed,insufficient_funds,1,10,0,202,True,send_reminder,False,0.0
CUST_00650,TXN_000074,31.13,card,success,,3,15,2,753,False,,False,0.0
CUST_03432,TXN_000075,7.71,card,success,,3,9,0,649,False,,False,0.0
CUST_02379,TXN_000076,81.33,wallet,success,,2,10,1,1028,False,,False,0.0
CUST_01651,TXN_000077,172.78,card,success,,1,5,2,190,False,,False,0.0
CUST_01135,TXN_000078,35.31,card,success,,3,8,3,132,False,,False,0.0
CUST_02822,TXN_000079,6.05,card,success,,1,13,2,71,False,,False,0.0
CUST_03349,TXN_000080,53.9,upi,success,,1,12,0,1058,False,,False,0.0
CUST_04701,TXN_000081,16.07,card,success,,3,9,0,335,False,,False,0.0
CUST_02186,TXN_000082,19.48,netbanking,failed,card_declined,2,9,4,1257,False,,False,0.0
CUST_00804,TXN_000083,54.67,upi,success,,1,7,2,449,False,,False,0.0
CUST_04163,TXN_000084,40.59,card,failed,network_error,2,5,0,1338,True,offer_support,False,0.0
CUST_03149,TXN_000085,22.41,upi,success,,2,17,3,177,False,,False,0.0
CUST_03501,TXN_000086,19.69,card,failed,network_error,2,6,1,355,False,,False,0.0
CUST_00487,TXN_000087,36.62,card,success,,3,6,1,1220,False,,False,0.0
CUST_01562,TXN_000088,23.87,upi,success,,1,9,0,424,False,,False,0.0
CUST_03839,TXN_000089,13.63,card,failed,network_error,2,4,2,1153,True,send_reminder,True,13.63
CUST_04161,TXN_000090,25.38,netbanking,failed,card_declined,2,8,2,80,True,offer_support,True,25.38
CUST_02176,TXN_000091,43.45,upi,success,,3,11,0,449,False,,False,0.0
CUST_04024,TXN_000092,28.72,card,success,,2,3,3,1416,False,,False,0.0
CUST_04208,TXN_000093,10.69,wallet,success,,1,9,2,331,False,,False,0.0
CUST_01938,TXN_000094,73.06,upi,success,,3,10,1,1377,False,,False,0.0
CUST_04490,TXN_000095,3.7,card,success,,1,12,2,426,False,,False,0.0
CUST_01442,TXN_000096,23.17,upi,success,,2,9,5,1273,False,,False,0.0
CUST_01198,TXN_000097,20.16,wallet,success,,2,16,0,469,False,,False,0.0
CUST_03412,TXN_000098,37.28,card,success,,1,7,1,1011,False,,False,0.0
CUST_03184,TXN_000099,51.9,card,failed,insufficient_funds,1,9,1,874,True,retry_payment,True,51.9
CUST_00699,TXN_000100,81.57,upi,success,,1,6,1,550,False,,False,0.0
CUST_04163,TXN_000101,18.73,card,success,,3,6,2,655,False,,False,0.0
CUST_01000,TXN_000102,52.95,card,success,,1,6,1,946,False,,False,0.0
CUST_04024,TXN_000103,38.73,upi,success,,2,9,1,1130,False,,False,0.0
CUST_00037,TXN_000104,8.42,netbanking,success,,1,8,0,934,False,,False,0.0
CUST_03984,TXN_000105,151.48,upi,success,,3,6,1,116,False,,False,0.0
CUST_03934,TXN_000106,10.47,card,success,,3,10,1,1038,False,,False,0.0
CUST_03902,TXN_000107,46.32,card,failed,expired_card,1,9,1,736,True,update_payment_method,False,0.0
CUST_03324,TXN_000108,45.24,card,success,,3,18,0,1219,False,,False,0.0
CUST_02358,TXN_000109,41.29,card,success,,2,5,2,425,False,,False,0.0
CUST_03526,TXN_000110,22.29,upi,success,,1,7,0,456,False,,False,0.0
CUST_01386,TXN_000111,64.19,card,success,,1,9,1,970,False,,False,0.0
CUST_03903,TXN_000112,9.5,netbanking,success,,3,7,4,261,False,,False,0.0
CUST_02778,TXN_000113,31.42,upi,success,,2,8,1,1116,False,,False,0.0
CUST_02295,TXN_000114,21.09,upi,success,,1,14,2,665,False,,False,0.0
CUST_02528,TXN_000115,19.26,netbanking,success,,2,9,1,1441,False,,False,0.0
CUST_02844,TXN_000116,46.67,upi,success,,3,12,3,135,False,,False,0.0
CUST_00187,TXN_000117,78.41,netbanking,success,,2,5,1,541,False,,False,0.0
CUST_00699,TXN_000118,25.16,netbanking,failed,card_declined,1,8,0,435,False,,False,0.0
CUST_01228,TXN_000119,61.84,upi,success,,1,2,3,480,False,,False,0.0
CUST_00573,TXN_000120,34.46,card,success,,2,9,0,1330,False,,False,0.0
CUST_02198,TXN_000121,16.21,card,failed,network_error,2,9,3,1452,False,,False,0.0
CUST_03342,TXN_000122,26.94,netbanking,success,,3,7,2,810,False,,False,0.0
CUST_03272,TXN_000123,26.06,card,success,,3,6,1,1051,False,,False,0.0
CUST_02356,TXN_000124,18.97,wallet,success,,1,7,0,874,False,,False,0.0
CUST_04275,TXN_000125,46.66,card,success,,3,9,0,404,False,,False,0.0
CUST_02826,TXN_000126,39.95,upi,success,,1,7,2,942,False,,False,0.0
CUST_00396,TXN_000127,9.28,card,success,,1,8,3,818,False,,False,0.0
CUST_03825,TXN_000128,8.84,wallet,success,,3,8,0,915,False,,False,0.0
CUST_02873,TXN_000129,46.51,card,failed,expired_card,3,5,4,644,True,update_payment_method,True,46.51
CUST_03173,TXN_000130,17.25,card,success,,3,14,0,615,False,,False,0.0
CUST_02827,TXN_000131,42.17,netbanking,success,,2,4,1,1036,False,,False,0.0
CUST_02768,TXN_000132,61.85,card,failed,expired_card,3,15,0,865,True,offer_support,True,61.85
CUST_00453,TXN_000133,11.98,card,success,,2,9,1,789,False,,False,0.0
CUST_02796,TXN_000134,10.71,netbanking,success,,2,9,1,1144,False,,False,0.0
CUST_03974,TXN_000135,126.41,netbanking,success,,3,7,1,407,False,,False,0.0
CUST_01520,TXN_000136,43.87,card,success,,1,5,1,65,False,,False,0.0
CUST_03014,TXN_000137,23.68,upi,success,,3,7,1,1395,False,,False,0.0
CUST_00155,TXN_000138,15.69,card,success,,2,6,2,304,False,,False,0.0
CUST_01738,TXN_000139,22.01,card,success,,1,8,0,592,False,,False,0.0
CUST_02184,TXN_000140,12.78,upi,success,,3,9,2,274,False,,False,0.0
CUST_04913,TXN_000141,67.14,card,failed,network_error,2,9,4,280,False,,False,0.0
CUST_01073,TXN_000142,17.79,upi,success,,1,6,1,31,False,,False,0.0
CUST_01383,TXN_000143,79.43,card,success,,3,12,1,110,False,,False,0.0
CUST_02043,TXN_000144,24.03,netbanking,success,,1,6,0,784,False,,False,0.0
CUST_04963,TXN_000145,14.37,upi,success,,2,3,2,1110,False,,False,0.0
CUST_04267,TXN_000146,23.55,card,success,,3,4,3,465,False,,False,0.0
CUST_00174,TXN_000147,4.06,wallet,success,,1,5,0,1296,False,,False,0.0
CUST_01170,TXN_000148,30.07,netbanking,success,,3,13,1,447,False,,False,0.0
CUST_04108,TXN_000149,28.9,card,success,,2,8,0,8,False,,False,0.0
CUST_00292,TXN_000150,64.06,wallet,success,,2,11,1,1244,False,,False,0.0
CUST_04278,TXN_000151,7.32,card,success,,1,6,1,266,False,,False,0.0
CUST_01407,TXN_000152,83.89,card,success,,3,7,0,1125,False,,False,0.0
CUST_04588,TXN_000153,63.85,card,failed,insufficient_funds,1,5,1,1188,False,,False,0.0
CUST_01468,TXN_000154,90.16,card,success,,1,9,2,924,False,,False,0.0
CUST_02172,TXN_000155,31.75,upi,success,,1,14,0,1491,False,,False,0.0
CUST_03309,TXN_000156,74.52,upi,success,,2,4,2,347,False,,False,0.0
CUST_00632,TXN_000157,10.21,netbanking,success,,3,12,1,663,False,,False,0.0
CUST_02785,TXN_000158,58.58,card,success,,3,8,5,326,False,,False,0.0
CUST_02525,TXN_000159,17.87,card,failed,network_error,3,5,0,782,True,offer_support,True,17.87
CUST_03919,TXN_000160,8.84,card,success,,1,10,1,655,False,,False,0.0
CUST_04980,TXN_000161,13.47,card,failed,expired_card,2,5,1,452,False,,False,0.0
CUST_03321,TXN_000162,33.26,wallet,success,,2,8,2,1328,False,,False,0.0
CUST_02046,TXN_000163,17.13,upi,failed,expired_card,2,7,3,1339,False,,False,0.0
CUST_02032,TXN_000164,44.74,netbanking,failed,insufficient_funds,2,4,1,384,False,,False,0.0
CUST_02090,TXN_000165,7.79,upi,success,,1,6,0,249,False,,False,0.0
CUST_04070,TXN_000166,6.04,card,success,,2,17,0,1066,False,,False,0.0
CUST_01606,TXN_000167,99.28,card,success,,2,4,0,1410,False,,False,0.0
CUST_00835,TXN_000168,68.24,card,success,,3,6,1,1453,False,,False,0.0
CUST_01672,TXN_000169,14.3,netbanking,success,,3,20,1,248,False,,False,0.0
CUST_00114,TXN_000170,33.04,card,success,,3,8,1,1436,False,,False,0.0
CUST_00531,TXN_000171,74.86,card,success,,2,2,0,1051,False,,False,0.0
CUST_00451,TXN_000172,46.31,upi,success,,2,12,0,379,False,,False,0.0
CUST_03857,TXN_000173,37.28,card,success,,3,7,1,327,False,,False,0.0
CUST_03612,TXN_000174,79.53,upi,success,,3,6,3,262,False,,False,0.0
CUST_03484,TXN_000175,18.46,card,success,,3,8,0,649,False,,False,0.0
CUST_02309,TXN_000176,33.95,upi,success,,3,13,2,721,False,,False,0.0
CUST_03585,TXN_000177,32.65,card,success,,2,7,0,229,False,,False,0.0
CUST_00807,TXN_000178,26.62,netbanking,success,,3,6,0,1249,False,,False,0.0
CUST_04503,TXN_000179,24.24,upi,success,,2,11,1,932,False,,False,0.0
CUST_02505,TXN_000180,35.1,card,success,,3,10,0,122,False,,False,0.0
CUST_04690,TXN_000181,34.04,netbanking,success,,3,9,4,384,False,,False,0.0
